video_id,author,comment,likes,published_at
brqtaTjBkB0,@TheFlareMind,"The 15 Pro is not even ""ancient"", some of us bought the phone back around October-December 2023 and even earlier this year as well.
 I upgraded from 11 Pro after 4 years in December 2023. I don't upgrade every year so plan to keep my iPhone 15 Pro for at least 5 years.
Great to see you doing these 1 year old reviews for previous year models. We do need more content creators to review previous year models.",35,2024-10-18T12:15:42Z
brqtaTjBkB0,@Rohail_Khan230,"Love the way you story told everything the entire video, and those photos were really something else with that music. Loved the video, keep posting!🙌",3,2024-10-16T18:12:46Z
brqtaTjBkB0,@raja.sq.,Im so confused should i upgrade from 14 pro max to 15 pro max?,1,2024-10-16T00:15:47Z
brqtaTjBkB0,@raja.sq.,Apple intelligence is not coming to ip 14 pro max?,0,2024-10-16T00:11:35Z
brqtaTjBkB0,@josephgaydosh7300,You know might as well buy a Samsung they run Samsung displays Samsung chips Samsung batteries what is iPhone,0,2024-10-15T12:09:39Z
brqtaTjBkB0,@TheofficialAlexFuentes,WOAH WOAH IS THAT AN RWB? NOICCCEEE 🥹🔥🔥🔥🔥,1,2024-10-12T02:18:57Z
brqtaTjBkB0,@kevinhan721,Off sound and video,0,2024-10-11T04:57:53Z
brqtaTjBkB0,@sbonfye8058,"15 pro is all you need
It just came out 365 days ago
The phone will be good for 4+ years.",15,2024-10-08T18:36:15Z
brqtaTjBkB0,@shahriarhossainhridoy7815,iphone 16 pro max battery white super bomb,0,2024-10-08T18:34:30Z
brqtaTjBkB0,@Lt.Shineysides89,"Here's my reasons for not getting a 16 pro... The camera button is useless to me i barely touch the cameras on my 13 pro, the size is already amazing i don't want it any bigger (i know i won't have a choice in a few years) The improvements this has with usb-c, cameras,dynamic island,Double peak brightness and the action button will already be an improvement over my 13 pro! The biggest factor in my decision was cost i just paid slightly over £700 if i wanted the 16 pro the only model i could find in stock was £1099 it simply isn't worth the extra money for a zoom lens,thinner bezels and a camera button! AI is coming to the 15pro anyway. I will miss my trusty 13 pro but it's time for  a slight upgrade :)",1,2024-10-08T15:55:27Z
2LogFbMb58w,@Ekhangel,"Every phone review since 2015:

Camera about the same
CPU +5%
Brightness +5%
Bezel -0,001%
Battery still shit",0,2025-01-30T12:16:53Z
2LogFbMb58w,@reedbell365,I came from the iPhone 12 to the iPhone 15 Pro. I’m satisfied.,1,2024-12-05T14:12:44Z
2LogFbMb58w,@Lifeof_Emmy,Pls can someone tell me the name of the car racing game he his playing?,1,2024-10-07T20:31:18Z
2LogFbMb58w,@abgh2204,So if main camera 48 was the pics presented in 24 mp?,0,2024-08-17T05:32:15Z
2LogFbMb58w,@davidjones500,I hate phones,0,2024-07-21T22:12:31Z
2LogFbMb58w,@vertbeke7977,Great review 👍,0,2024-07-01T21:09:37Z
2LogFbMb58w,@vertbeke7977,♥️👍,0,2024-07-01T21:09:20Z
2LogFbMb58w,@Feeyaz_munchiez,I like iPhone 15 pro,0,2024-06-24T20:33:33Z
2LogFbMb58w,@artifactyt4562,From my nigerian experience this guy is full of crap 💩. Get tf out,0,2024-06-06T17:58:56Z
2LogFbMb58w,@joesuralta02,Are you guys from Singapore @GSMArena Official?,0,2024-04-30T07:10:24Z
2LogFbMb58w,@XRocket2009,"I really don't like iphones but I have to buy one just to show off everyone that I have money to buy an iphone, because these s***rs think you're poor if you don't use an iphone. That's how these Sri Lankans think. Average salary of a Sri Lankan is around 100 - 150 USD a month and most of them can't buy an iphone and apple doesn't make any cheap phones so if you have money you should use an iphone. That's Sri Lankan logic. Not sure how the rest of the world thinks.",0,2024-03-31T17:09:20Z
2LogFbMb58w,@mversoza7826,I cant choose between 15 pro or pro max😭,0,2024-02-04T01:31:44Z
2LogFbMb58w,@markallengabriel1991,"I was a samsung user for 13 years, then switched real quick to the iPhone 15 Pro. I can say it is definitely worth it for the features and the price. The only thing that I didn't like was the battery life of the iPhone. That is why I only use it for social media and taking photos, and then my samsung is for gaming.",7,2024-01-31T17:35:31Z
2LogFbMb58w,@davesway1170,"I hate the way iOS handles notifications, and swiping down in the middle of the screen which is possibly the most common swipe to make, it brings up a useless option",4,2024-01-14T16:08:16Z
2LogFbMb58w,@karlsorongon7868,Watching from my iphone 15. I think I choose the wrong phone 😭,0,2024-01-11T00:15:15Z
2LogFbMb58w,@kentoygaming6596,Samsung S23 or Iphone 15 pro?,0,2023-11-21T21:54:38Z
2LogFbMb58w,@ramandeepsingh132,Nice review 👍🏼,1,2023-11-03T12:16:38Z
2LogFbMb58w,@3stanblueboi295,I can look into your eyes and listen to your voice all day long,1,2023-10-18T06:00:12Z
2LogFbMb58w,@sakidojc3735,15 pro have 5 x zoom portrait ?,1,2023-10-17T21:57:23Z
2LogFbMb58w,@kro576,video thumbnail be looking like uncle roger,0,2023-10-17T09:27:23Z
2LogFbMb58w,@Sebooking88,Hey! Have you Also experienced any touch issues Wit your iPhone 15 PRO? I have screen protector on and it doesnt register every press sometimes I have to press 2-3 times. Is this a software related problem or what? Without my screen protector on it registers every press perfectly.,1,2023-10-15T08:12:09Z
2LogFbMb58w,@nanakwesijeffery4538,they are sponsored by apple. dont fall for it,0,2023-10-15T02:55:19Z
2LogFbMb58w,@oneminutewonder77,"It's great that they finally added support for USB C with this generation. Though it's kind of screwed up that a regulatory agency is allowed to tell a company how they need to make their product. It's kind of like one small step, and then they're going to see what else they're able to get Apple to do.",1,2023-10-13T16:59:21Z
2LogFbMb58w,@ImStillStealingSteel,"Just curious, I have the iP15PM and since having it, I’ve been charging it from my iPad Pro 21’s charging cable and charger that came from Apple. Honestly, it charges my iPhone really fast. Do anyone know what exact charging speed that cable is?",1,2023-10-10T18:31:10Z
